first,second,third,likelihood_ratio
individuelle,dignité,sociale,118.54674816020207
aboutir,supprimant,postes,148.73596120646783
candidats,front,national,12831.586022906937
candidats,deuxième,tour,1378.3939792698725
candidats,présidence,république,558.6704975038501
grande,pitié,royaume,240.90941369645194
compte,productivité,concurrence,117.41674664017731
compte,rendu,mandat,114.31195554640775
dignité,sociale,moyen,98.71252123208754
etats,unis,amérique,1706.2426720454307
etats,unis,ailleurs,1561.834491049361
etats,unis,pays,1551.7996895737797
patrie,terrestre,sépare,140.16165790996197
bûcher,rouen,dernier,294.70024254114423
1957,premier,faire,102.86004042963074
sais,rien,mais,182.2065280706803
cautères,jambes,bois,240.89349212000178
sait,lire,écrire,368.61940482231535
vive,front,national,12869.95968367627
vive,france,vive,501.5645268503343
vive,nation,vive,381.0556627374773
vive,république,vive,343.7709066547144
vive,france,chers,235.2215671733757
vive,france,mesdames,231.73131382194737
vive,1431,bûcher,195.43899799634613
malheur,charles,devenu,146.66787130059677
passé,table,rase,164.06122236067364
référendum,constitution,européenne,772.9440689197486
référendum,nouvelle,calédonie,313.1926589330581
dernier,souffle,acte,130.36859777906204
train,mettre,place,265.5238123600126
train,anciens,compagnons,186.73013786245178
peine,mort,soit,504.9155778585746
pour,assurer,renouvellement,120.54577468141485
voté,contre,traité,121.28105260735947
accueillir,millions,immigrés,219.71548767777182
raison,laquelle,propose,341.4109827357987
million,demi,clandestins,211.1064722915835
sarkozy,ségolène,royal,598.0896862084364
sarkozy,bayrou,royal,221.14063274923512
sarkozy,royal,bayrou,167.70058876784634
réforme,code,nationalité,269.5691363209274
rendent,bien,compte,137.43991916698425
mère,arts,armes,205.45244052654903
après,deuxième,guerre,176.28312663262204
échange,gloire,immortelle,270.5160113197838
nouvel,ordre,mondial,245.80616708951936
rapprocher,salaires,manuels,301.7283285954052
rose,rose,bonnet,165.70038836352194
appelle,voix,disent,92.2026374786489
vents,concurrence,mondiale,251.19751299806782
militants,front,national,12846.677507375656
seine,saint,denis,197.57660357723609
dirigeants,front,national,12813.060968122096
modeste,compare,suis,158.79195350414057
normandie,écrasé,chevalerie,229.13578139095256
grand,chef,guerre,184.9154063090855
